sizes,threads,transactions,trns p/s,deadlocks,dls p/s,read/write requests,r/w reqs p/s,min,avg,max,95 percentile
1000000,8,1000,722.90,0,0.00,19000,13735.11,4.22,11.02,45.98,25.52
5000000,8,1000,571.02,0,0.00,19000,10849.46,4.39,13.98,202.87,37.86
10000000,8,1000,477.77,0,0.00,19000,9077.62,4.51,16.66,113.26,46.02
15000000,8,1000,416.05,0,0.00,19000,7904.97,4.60,19.18,218.16,57.58
20000000,8,1000,400.03,0,0.00,19000,7600.62,4.75,19.93,353.92,44.50
25000000,8,1000,333.51,0,0.00,19000,6336.75,5.66,23.94,192.73,70.39
30000000,8,1000,305.62,0,0.00,19000,5806.71,5.88,26.10,187.59,73.10
1000000,16,1000,960.78,0,0.00,19000,18254.88,4.25,16.52,54.53,30.46
5000000,16,1000,589.52,0,0.00,19000,11200.97,4.35,26.91,238.67,87.14
10000000,16,1000,478.52,0,0.00,19000,9091.90,4.90,33.04,259.03,96.13
15000000,16,1000,521.14,0,0.00,19000,9901.67,4.73,30.51,149.01,67.83
20000000,16,1000,394.59,0,0.00,19000,7497.15,5.31,38.66,391.66,110.65
25000000,16,1000,400.70,0,0.00,19000,7613.28,5.23,39.63,249.62,114.39
30000000,16,1000,325.01,0,0.00,19000,6175.18,6.64,48.81,376.15,136.24
1000000,32,1000,1174.97,0,0.00,19000,22324.46,3.90,26.99,75.64,48.54
5000000,32,1000,700.80,0,0.00,19000,13315.11,3.95,44.35,345.12,113.10
10000000,32,1001,564.71,0,0.00,19019,10729.51,5.43,55.86,489.61,143.74
15000000,32,1000,459.38,0,0.00,19000,8728.18,6.52,69.00,424.91,223.26
20000000,32,1000,422.12,0,0.00,19000,8020.27,8.83,75.15,516.58,194.95
25000000,32,1000,337.71,0,0.00,19000,6416.54,7.17,93.56,562.53,299.91
30000000,32,1000,356.27,0,0.00,19000,6769.05,8.25,87.85,311.91,212.06
1000000,64,1000,1023.32,0,0.00,19000,19443.08,7.49,57.45,152.43,102.03
5000000,64,1000,820.08,0,0.00,19000,15581.61,6.56,75.29,371.64,153.94
10000000,64,1000,551.19,0,0.00,19000,10472.61,9.82,102.53,428.39,295.90
15000000,64,1000,446.57,0,0.00,19000,8484.82,4.24,136.87,706.93,435.88
20000000,64,1000,406.98,0,0.00,19000,7732.59,5.49,152.46,788.27,388.90
25000000,64,1000,391.19,0,0.00,19000,7432.68,8.35,161.15,661.40,418.24
30000000,64,1000,323.12,0,0.00,19000,6139.26,10.91,193.96,652.20,503.38
1000000,128,1000,941.71,0,0.00,19000,17892.55,11.51,122.03,470.86,224.94
5000000,128,1000,703.94,0,0.00,19000,13374.87,17.86,170.47,769.88,541.69
10000000,128,1000,629.34,0,0.00,19000,11957.54,21.06,196.14,857.58,500.23
15000000,128,1000,478.30,0,0.00,19000,9087.67,5.62,263.57,1185.62,872.65
20000000,128,1000,419.55,0,0.00,19000,7971.52,9.82,295.49,1202.75,634.44
25000000,128,1000,335.81,0,0.00,19000,6380.30,19.42,361.77,1076.92,873.17
30000000,128,1000,346.41,0,0.00,19000,6581.70,25.83,353.29,1179.10,768.63
